spkr_id,age,gender
main-6332491191742745853,40,female
pretrain-6128417538660165058,56,male
pretrain-6113581862626304484,42,male
main-6380021017957616097,40,female
main-5964266465587476040,48,male
pretrain-5929411517490186457,45,male
main-6099465164117891952,38,female
main-6353179190214044575,45,male
pretrain-5972554034481780493,62,male
pretrain-6218857953502283780,52,male
pretrain-6285425222256680887,57,male
pretrain-5962496080068068271,48,male
pretrain-6092816554874091313,47,male
pretrain-6129472812124794530,45,female
pretrain-5903130183109303512,39,female
pretrain-5744614966122352329,35,male
pretrain-5539741160632598296,40,male
pretrain-5973675020946041157,58,male
main-6357798427540961623,43,female
pretrain-5574337122201878384,50,female
pretrain-6101312859048628954,40,female
pretrain-5540483330981347168,41,male
main-5882720498518649145,45,male
main-6262356093785926416,41,male
pretrain-5986589558108432370,46,male
pretrain-6231215862903048395,45,female
main-6106886867605294393,58,male
pretrain-5956106457221800240,58,male
main-5604861454774550869,56,male
main-6379595816064843367,48,male
pretrain-5951721725109310806,52,male
pretrain-6079262926447639905,61,male
main-6113500687744411751,49,female
main-6100593881523194452,58,male
pretrain-6076338053719123186,47,male
pretrain-5648488444077134431,49,male
main-6132039484580860188,50,female
main-6284911114540926118,42,female
pretrain-5995866687467805321,44,male
main-5943810395350038636,59,male
main-6262000470493881682,30,female
pretrain-6279797096981569617,44,male
main-5925008746515048282,47,male
pretrain-5869361432241237722,41,male
main-5958823883029920584,44,male
pretrain-5992542382780630104,57,male
pretrain-5933389086703014392,55,male
pretrain-5575848521193343116,49,male
main-6384102954745239874,50,male
pretrain-6180330808366973999,44,female
pretrain-5938688646849552195,51,male
main-6385216210398859008,49,female
pretrain-6179959723192533433,50,male
pretrain-6211072895781547738,41,female
main-6324698403080812792,42,male
main-5995503333234560715,52,male
pretrain-6129553987006688938,57,male
pretrain-6147246245789161932,35,male
main-5962894223536342747,47,male
main-6122793278986045329,49,male
main-6171811311238622573,33,female
main-6160292209081184171,51,male
main-6282363769437661444,44,male
pretrain-6091618258868090946,54,male
main-6308177381880006979,47,male
pretrain-6235444687702626847,46,male
pretrain-6020350578035319652,46,male
pretrain-6120126104295288991,60,male
main-6259348757685329073,59,male
pretrain-6094262240735511109,40,female
main-6132453089931554846,44,male
pretrain-5553598872613155994,47,male
pretrain-6230813853964143265,52,female
main-6371470597064737331,47,male
main-6227756266746149237,52,male
main-6119445781475538064,56,male
pretrain-6080434164029232227,60,male
pretrain-5941336494187536405,46,male
pretrain-6035503222655655892,45,male
main-6223310975594781256,51,male
pretrain-6116148535082467916,49,male
pretrain-6039859607983924226,46,male
pretrain-5958847075853384595,57,female
pretrain-6063810063613348518,54,female
pretrain-6127960124643144672,49,female
main-5691619364657010634,44,male
main-6115325189851814592,36,female
pretrain-5884931547682632545,41,male
main-5988912706049265750,42,male
pretrain-6136120133008790099,55,male
pretrain-5959136986145860115,51,male
main-5677792576441011755,52,male
pretrain-6189592475844010422,43,male
main-6114954104677440164,39,male
main-6213798052531513086,42,male
main-6150593743299597894,51,female
main-5947335704506634443,56,male
pretrain-6288030549418434745,50,male
pretrain-6068680556527746441,29,female
pretrain-6284976827540550170,50,male
pretrain-5536038039829982468,51,male
pretrain-6214138213940707009,51,female
main-6356201988197034394,51,male
pretrain-6078587757588772345,45,female
main-6011858139200922687,46,male
pretrain-6117157422900290536,63,male
main-6234524705707888224,53,male
pretrain-5941773292361605454,39,male
main-6247431511929107066,41,female
pretrain-6129101726950487528,45,female
main-5995995536486684322,44,female
pretrain-6040622394175695764,59,male
pretrain-6100829675227828912,48,male
pretrain-6225050437349598381,48,male
main-5962847837889545281,46,male
pretrain-5854822108950805868,47,female
main-6130547412942321141,37,female
pretrain-6024846120304758193,44,male
pretrain-5984363047062182334,48,male
main-6350295549171504559,44,female
pretrain-6279070388515022591,43,male
main-6230420864456523660,49,male
main-5994463521652136519,58,male
pretrain-5570668790634362481,40,female
pretrain-5688990844671857003,54,male
main-5980346823143649823,65,male
pretrain-6101942930750952198,58,male
pretrain-6031912200500139700,35,female
pretrain-6022650533023043591,43,male
pretrain-5892739798226746824,32,female
main-6206306770573109558,35,male
main-5990679225967691418,50,male
pretrain-5973041083773852889,42,female
pretrain-6115043010500467373,37,female
pretrain-6171656692415966563,42,female
pretrain-5966353819693979079,48,male
pretrain-6247431511929107066,37,female
main-5536760882825901738,36,female
main-6246059269877971111,53,male
main-6226353100930473904,45,female
pretrain-5985526553703327269,45,male
pretrain-6213751666884065165,39,female
pretrain-6007652507224768034,58,male
main-6376310166083398929,45,male
main-6348463316123031920,45,female
pretrain-6107281145603067202,74,male
main-5950607181095930986,46,male
main-6284806746835564579,49,male
pretrain-6202769865004848037,40,female
pretrain-6015518739827306440,52,female
pretrain-6254165161655718796,52,male
main-6248915852626606699,49,female
pretrain-6176619956623227967,59,female
pretrain-6081312914468482296,48,female
pretrain-5922040065120050850,55,male
main-6222665442010189767,49,female
pretrain-6046013437125640989,42,female
main-6012550058432309954,42,male
pretrain-5940551803662622943,62,female
main-6079444603564303072,57,male
main-5860017301391988208,44,female
pretrain-6136102094146210863,49,female
main-6085394851386601911,37,female
pretrain-6217470249568879943,48,male
pretrain-6231950302310690931,40,male
main-6077772143299170798,41,male
main-5885318094739272555,44,male
main-6075576556017546348,46,male
main-5954681387072918737,44,male
main-6064923319266940862,45,male
pretrain-6117605817485929919,58,male
pretrain-6095738850491884556,55,male
main-5869361432241237722,42,male
pretrain-5867044726881712737,47,female
main-6361028672444286629,53,male
main-6201111578131862332,59,female
pretrain-6243357305952122096,56,male
pretrain-6095383227199770806,50,female
pretrain-6214795343936996358,48,male
pretrain-6224505405999732327,62,male
pretrain-6064769988804004613,67,male
main-6109128840533871287,47,female
main-6047908806193434026,47,female
main-6042665939615135421,35,male
main-6209615613378016053,39,male
pretrain-6222665442010189767,49,male
main-6124602319211186573,51,male
main-6115363844557415132,50,female
main-6211540617720084930,47,female
pretrain-6196658556039459810,50,male
main-5995197961190233380,55,male
pretrain-6129121054303316841,42,female
main-5939488799256800858,47,female
pretrain-6108371208302794069,54,male
pretrain-6084130842380967939,50,male
pretrain-6114710580031693461,54,female
main-6360983575287674299,40,female
pretrain-6219325675440817346,40,female
pretrain-6180616853188825835,43,male
pretrain-6254111045067852458,49,female
pretrain-6238637566390540804,45,male
pretrain-6117180615723688939,38,female
pretrain-5948327841951944886,46,male
pretrain-6249012489390766710,40,female
pretrain-5753211772662042487,45,male
pretrain-6078643162666824975,52,male
main-6368494184598133861,59,female
main-6246778247403385418,48,female
pretrain-6175135615925731054,39,female
main-6112445414279844664,40,female
pretrain-5562876001972492067,45,female
main-6002640280520743957,50,male
main-6251239000436952414,37,male
pretrain-6263113726016940843,53,female
main-6260928446656802780,45,male
pretrain-6045626890069003904,48,female
main-6114992759383040695,53,male
pretrain-5876107966869710820,38,male
main-6361428104402746195,31,female
pretrain-6246689341580358209,54,male
pretrain-6084311231007400227,52,male
pretrain-5568055732531473539,53,male
pretrain-6156531106089592825,55,female
pretrain-5682616683707883211,54,male
pretrain-6111651704323480930,52,male
main-6051548790976800348,37,female
pretrain-6138042560370481831,26,female
pretrain-6235549055407986943,44,female
main-5955897721941637066,48,male
main-6101966123574350601,47,female
pretrain-6101571845576577770,48,male
pretrain-5549830038810910482,55,male
pretrain-5691658019362673386,37,male
main-6207064402804186878,48,male
pretrain-5669333638351531538,46,male
pretrain-5947335704506634443,61,male
pretrain-6113217219902935917,47,female
main-6248521574628835159,54,male
pretrain-6254536246830093202,55,male
pretrain-5695214252283763721,49,female
pretrain-5979233567750998189,58,male
pretrain-6131749574288381036,44,male
pretrain-6074602457434810844,58,male
main-5695214252283763721,59,male
pretrain-6209959640258424454,38,female
pretrain-6207037344510227148,55,female
pretrain-6223051989066833707,41,male
main-5897440210435492534,72,male
main-5943988206996091651,49,male
pretrain-5990686956908753850,53,male
main-5940203911311581104,43,male
pretrain-5975878339168952942,43,male
main-5922797697351067887,44,male
pretrain-6024822927480649400,52,male
pretrain-5669999787779141269,56,male
pretrain-6081185353809366812,39,female
main-5586115211017711361,38,female
main-5856046174630165961,53,female
main-6136120133008790099,58,male
main-5611560315266125718,51,male
main-5974038375309754904,56,male
pretrain-6126828830257436278,40,female
main-5924266576166299424,38,male
main-6130957152822292237,48,female
main-5859681005452709124,53,male
pretrain-6230087145497684183,41,male
pretrain-6177354396030778154,43,male
main-5940180718488248497,49,female
pretrain-6113879503859917352,46,female
pretrain-5977671917511700697,50,male
pretrain-6085719550784412225,54,male
main-6253487415816471300,49,male
main-6225537486641029331,41,female
pretrain-5958133252288789199,40,female
pretrain-6231474849430962116,44,male
pretrain-5978475935389578147,55,male
pretrain-6212456734244258440,51,male
main-5933122369233932002,52,male
main-5945051211401853549,53,male
main-5870830311056405691,55,male
pretrain-5928363974966688010,56,male
pretrain-5990800344045436439,30,female
main-6251555969023461325,52,male
main-6341404966868871455,39,male
pretrain-6119778211944312883,43,female
pretrain-5928008351674643244,41,female
main-6246043807995703594,52,male
pretrain-5991842732608177415,51,female
main-6352815835980800496,58,female
pretrain-5947293184330429588,40,male
pretrain-6151386164765709961,54,male
main-6080434164029232227,61,male
main-6095738850491884556,45,male
main-6239024113447118422,36,male
main-6092681263273854039,48,male
main-6116855916196048235,53,male
main-6077571138829809070,41,male
pretrain-6019237322512185980,47,male
pretrain-6130516489177787401,61,male
pretrain-6075990161368147161,51,female
pretrain-6238622104508275202,37,female
pretrain-6099457433177401148,47,male
pretrain-5981073531610200338,45,male
main-5949005587791253679,57,male
pretrain-5999241243272211118,48,male
main-6212963110888521039,47,male
main-5729184007621308321,53,female
pretrain-6064196610670046058,51,female
main-6169368333840590009,35,male
main-5956477542396174717,49,male
pretrain-6221559917428199292,37,female
main-5951603184011877106,51,male
pretrain-6038112415287913216,51,male
pretrain-5971027173608050611,50,male
pretrain-5558666504525708779,35,male
pretrain-6153612675811962227,33,female
pretrain-5936156763628557930,49,male
pretrain-5948390977971223362,50,male
pretrain-5748866983745392546,48,female
pretrain-6078174152238167512,51,male
pretrain-5860236344724086094,41,male
main-6080864519752291431,47,male
main-5961266860427951998,53,male
main-5992198355900220475,41,female
pretrain-5555052289546122641,48,male
main-5965487954286464111,60,male
pretrain-5949563504043097417,43,male
pretrain-6247802597103481495,49,female
pretrain-5977809785961966261,40,female
pretrain-6249658022975355556,45,male
main-6253825000245940557,50,male
pretrain-6123230077160112065,43,male
main-5987718275513758403,55,male
main-6102337208748725029,43,female
pretrain-6101151797774971597,61,male
pretrain-6277199500760886105,40,male
pretrain-6131687726759406681,46,male
main-6085719550784412225,51,male
main-5678163661615386220,57,male
pretrain-5975031801114911283,56,male
pretrain-5970683146858119298,51,male
pretrain-5677792576441011755,55,male
pretrain-6222939890420406825,52,female
main-6159499787484592707,53,female
pretrain-6133233914985904017,52,male
main-6216333801222356458,45,female
main-6292421723851442807,43,male
pretrain-6012921143606684466,51,male
pretrain-5901630380529470440,50,male
pretrain-6282781240258772087,64,male
main-5927606342735671442,42,male
pretrain-5548647204817589994,40,male
main-6046686029004262808,47,male
main-6094215855088714304,44,male
pretrain-6069175336759517471,49,female
pretrain-6169577069251241865,49,male
main-6348834401297406331,44,male
pretrain-6247048830342970623,42,male
pretrain-6116089264533712111,59,male
main-5941390610775469756,54,female
pretrain-5993698158479986001,53,male
main-6225610930581725060,39,female
pretrain-6248969969214470502,49,male
pretrain-5969094438324916868,50,male
main-6216639173397168149,31,female
main-5974365651687235724,58,male
main-6375480378401815497,51,male
pretrain-6234339163120634114,57,male
main-5971811864133033984,48,female
pretrain-5992124911959461099,59,male
pretrain-5969836608673665741,39,female
main-6358459423007748830,45,female
main-5973033352832720088,39,female
pretrain-5984000981319066696,57,male
main-5901630380529470440,41,male
pretrain-6092275388864315203,62,male
main-6077803067063793084,47,female
pretrain-6127598058900091868,53,male
main-5913350487286807643,51,male
main-6234888059941128636,41,female
main-6247172525401095427,52,male
main-6259306237509098669,42,female
pretrain-6106419145666853249,40,female
pretrain-5986550903402701903,59,male
pretrain-5892689547109465164,43,male
main-5947633345740208898,50,male
main-5963300097945875869,51,female
main-6217447056745545811,41,male
pretrain-6058630333055103311,56,male
main-5946860251626900397,43,female
pretrain-5964374698763338798,46,male
main-6264180595893270664,46,male
pretrain-5854471639619452240,38,male
main-6102020240162219860,47,male
main-6076720735305202434,57,male
pretrain-5545813814892416825,46,male
pretrain-6086469452073642405,40,female
pretrain-5956848627570549190,52,male
main-6194053228877704105,52,male
main-6124698955975346584,45,female
pretrain-5721282985783575654,45,female
pretrain-6061970099623735305,48,male
main-6249658022975355556,49,male
pretrain-6139511439185779655,47,male
pretrain-6116492561962806586,53,female
pretrain-5549221871441796497,59,male
pretrain-6240790633496029484,52,female
pretrain-5965109138170892429,58,male
pretrain-5536968329746298779,51,male
pretrain-5966245586647891373,59,male
main-6005936238423694687,49,male
pretrain-5718090107095720942,46,female
main-6123925861862072950,41,male
pretrain-5957695165625241423,46,male
pretrain-5971398258782428983,50,male
pretrain-6225208921642820775,43,male
main-6350666634345878987,40,male
main-5994018992537001343,50,male
pretrain-5972909657773893974,62,male
pretrain-6215607092755939221,45,male
pretrain-5961823488190159446,47,male
pretrain-6199982860726471867,45,male
main-5988514562450442432,55,male
main-6087219353364175738,53,male
pretrain-6178846467669476288,46,male
main-6215525917874044813,45,female
pretrain-6110984266405682503,51,male
pretrain-6094300895571588822,42,female
pretrain-5859657812629310721,59,male
pretrain-5981088993492372739,51,male
main-5953126179415105574,35,male
main-6221931002602573723,54,male
pretrain-5921313356653567597,42,male
main-5545806083951284024,40,male
main-6080493434577943913,43,male
main-5952886520239986137,31,male
main-6133589538277987850,48,male
pretrain-5978491397271751841,53,male
pretrain-6213334196062895440,57,male
pretrain-6240494280752601735,50,female
pretrain-6172398862764715407,41,male
main-5941212799129413819,51,male
pretrain-6234153620533513823,54,male
main-6130910767175560232,39,female
pretrain-6078676663411799554,38,female
main-6076684657579848844,62,male
main-5671931234572155114,53,male
main-5695464219380391015,45,male
pretrain-5881564722819280793,49,male
pretrain-6106844347429062870,53,female
main-6254524650418457293,43,female
pretrain-5976963247907858483,52,male
main-6264961420947746164,41,male
pretrain-6210419631255826093,46,female
main-6138429107427121863,46,male
pretrain-5578446117413966372,39,female
main-6335003747610845928,52,male
pretrain-6122858991985742631,43,female
pretrain-6093527801327895055,48,female
pretrain-5905727779329922651,54,male
main-6083121954563791212,60,male
pretrain-6155483563696581043,55,male
main-6197014179331504236,38,male
main-6077095685950143250,53,male
main-5565334441252725193,59,male
pretrain-6220040787495602232,40,male
pretrain-5990679225967691418,55,female
pretrain-5912407312468606466,51,male
pretrain-6206329963396570837,60,male
main-6166275957517972567,45,female
pretrain-5968352267976167973,51,male
main-6356901638369488289,34,female
main-6280152720273683696,53,male
pretrain-6013292228781058874,49,female
pretrain-6253442318659799517,61,male
pretrain-6033012571120703145,47,male
pretrain-6040968998036482979,50,male
pretrain-6014777857968812796,55,male
main-6234153620533513823,56,male
main-6210025353257987152,39,female
pretrain-5925789571569527356,35,female
main-6237137763810712766,58,male
main-5955008663580939946,61,male
main-6082669694506867284,40,male
main-6349947656820532043,35,male
pretrain-6243720660185360999,46,male
main-6052772856786554322,44,male
pretrain-6031943124394439486,50,male
pretrain-6208927559617193740,58,female
pretrain-6011363358968483893,56,male
main-6081547419552355435,67,male
pretrain-5945793381750602365,52,male
pretrain-6077934493063050698,39,male
pretrain-6257056533639451638,56,male
main-5905899148524968757,45,male
main-5556567554008152192,41,female
main-6253094426308821125,66,male
main-5960558190824112934,51,male
main-5599304196590249949,42,female
main-6053094979204017840,40,male
main-6250802202262948139,51,male
main-6310195157515669986,45,male
pretrain-5946964619332285567,49,male
pretrain-6228958428092234131,44,male
main-5947289318859772112,61,male
main-6126867484963105251,48,male
pretrain-6209650402613110582,49,male
pretrain-6099836249292262213,44,female
main-6180330808366909853,45,male
pretrain-5995132248060186287,56,male
pretrain-6165487401391987978,60,male
pretrain-6277957133122394200,48,male
main-5969836608673665741,49,male
pretrain-5936533002763689364,37,female
main-6216690713004657292,42,female
pretrain-6113566400744038883,56,male
main-6247234373060640285,50,male
main-5952411067360320643,42,female
pretrain-5995882149350002168,50,female
pretrain-6213299406827796321,40,female
pretrain-6251223538554747680,52,male
pretrain-5962894223536342747,52,male
pretrain-6053775302022983249,59,male
main-5585156574317243081,37,female
main-6126538919964896547,43,male
main-6158390397432032345,60,male
main-6043651634609635419,38,male
main-6115482385654848207,44,female
main-6360327733781577947,33,male
pretrain-6222639672206413765,53,male
main-5862295352045786765,46,male
pretrain-5578322422355841561,48,female
pretrain-5958284005640811681,54,male
pretrain-6122801009927180587,39,female
main-5536266102593401990,45,female
pretrain-5648519367841666955,60,male
pretrain-6220161905703758451,51,male
pretrain-6152228837349908415,53,male
main-6103910455269256619,45,female
main-6100934042933064381,57,male
main-6225143208643254989,52,male
pretrain-6216302877457891313,51,male
pretrain-6110242096056994573,46,female
main-5895337394447420840,50,female
main-6288679948343102712,60,male
main-6115356113616282331,59,male
pretrain-6060106942941205381,52,male
main-5928298261967059811,39,male
pretrain-6254207681832012469,34,female
pretrain-6212851012242096738,58,male
main-5973311666712799128,44,male
pretrain-5585392368021792024,57,male
pretrain-5988522293391573607,55,male
main-6125004328150028775,42,female
main-5967750543057995893,49,female
main-6289112881177026921,40,male
main-6107161316015602106,40,female
main-6101278069813467810,48,male
pretrain-5974738025351798949,48,male
pretrain-5551623617153720258,60,male
pretrain-6112772690787736998,52,male
pretrain-5927235257561297010,46,male
main-6234801731098479034,64,male
main-6199611775552097439,47,male
pretrain-5954319321329935516,43,male
pretrain-5962523138362675730,52,male
pretrain-6005565153119550894,46,male
main-6347667029186417939,53,male
main-5560278405751870137,46,male
main-6190721193249401618,48,female
main-6171656692415966563,43,male
main-5955810104478307511,49,male
pretrain-5973995855003050094,50,male
main-6293171625141262226,48,female
pretrain-6221084464548532055,42,female
pretrain-5949813471139724631,61,male
main-6352498867394358158,50,male
main-6390301881043558087,47,female
pretrain-5582872081212496848,40,male
pretrain-6250431117088572702,51,male
pretrain-6052634988205892377,40,female
pretrain-5860432195232845988,57,male
pretrain-5709825731024778684,55,male
main-6081235604926665834,49,female
pretrain-6090188034758523980,53,male
main-5858163164010366528,45,female
pretrain-6263059609429075361,48,male
main-6080400663284386835,41,male
main-5995503333234494936,68,female
pretrain-6262356093785926416,36,male
pretrain-6125769691322180759,53,male
main-5924980399730896575,60,male
main-6260918138735224811,46,male
pretrain-6146554326557708291,49,female
pretrain-6115356113616282331,47,male
main-6104245462718256848,44,male
pretrain-6130910767175560232,42,male
main-5537514649586349811,46,male
main-5981034876904509969,58,female
main-6095251801200511498,47,male
main-6171621903180804569,46,male
main-6373112133434795034,58,female
main-5748484302159323570,41,male
pretrain-6067520915357091876,47,male
pretrain-5698329821560288465,60,male
main-6353190786625806236,51,male
pretrain-6106515782431013260,53,male
main-6390672966217932513,45,male
main-5559520773520854086,58,male
main-5541225501330096046,38,male
pretrain-5906415833090741740,46,male
pretrain-6214872653348321239,60,male
pretrain-5974788276599636775,53,male
pretrain-6080168735050402315,51,male
main-6240121907087979027,44,male
main-6155839186858209294,49,female
main-6264207654187296241,35,female
main-6216268088222793710,41,female
main-6106473262254688466,45,male
pretrain-6098599298711014115,50,male
main-5593985309090877794,56,male
main-6377365439548029922,50,male
main-6077474502065649059,46,female
pretrain-5553969957787531171,64,male
main-6078680528882996121,60,male
pretrain-5991865925431512968,60,male
main-6239766283926354137,53,male
main-5956558717278005294,46,female
main-6260121851798546398,40,male
pretrain-6130586067647917810,45,female
pretrain-5972140429131177767,53,male
main-5963675048721235039,41,male
main-5957556008684147949,66,male
pretrain-5927977427910045873,44,male
pretrain-6139542362950251255,42,male
main-5708405814836719402,42,male
main-5553869455552804109,49,male
pretrain-5873420176335878087,54,male
pretrain-6230349997496109662,53,female
pretrain-5940224527154601906,49,male
pretrain-6098971672375577343,58,male
pretrain-6058985956346559235,48,male
pretrain-5861955190636009843,51,male
main-5954700714425765123,59,male
pretrain-6228854060387002490,53,male
pretrain-6239774014737727302,37,female
main-5958823883160402401,46,male
pretrain-5932751284059557597,53,male
main-5537522380527482610,52,male
pretrain-5556181006951512202,53,male
pretrain-5923524405817550579,42,male
main-6120520382293061876,50,female
main-5947351166388834437,50,male
main-6296488198887233602,55,male
main-6363956122153173818,43,female
main-6118019422836597806,45,female
main-5641515135175344601,56,male
main-6123214615277846463,36,female
pretrain-5984436491133373360,41,male
pretrain-5861584105461572914,66,male
main-5570668790634362481,48,female
pretrain-5989875208089877452,59,male
pretrain-5948746601263332188,48,male
pretrain-5939009480906563415,59,male
main-6222997872478817404,56,male
main-6109016741887445675,31,male
main-5584043318794119848,53,male
pretrain-6094717077772157547,38,female
pretrain-6043400379022751996,44,male
main-6355414720691614656,43,female
pretrain-6214041577176545185,40,male
main-6093472396249715241,50,male
pretrain-5987745333807723731,33,female
main-6096712949074615488,36,male
pretrain-5935719965454554752,56,male
pretrain-5909083007781500287,54,male
pretrain-6118641763597797400,56,male
pretrain-6225263038230813400,53,male
main-5985526553703327269,50,male
main-6195174215341899715,48,male
pretrain-6051548790976800348,34,female
main-6120574498880932112,56,male
pretrain-5981034876904509969,61,female
pretrain-6198142896736865730,61,female
main-6211556079602347779,38,female
main-5928928333669382579,51,male
main-6238227826510524975,49,male
main-6204010681056667886,53,male
main-6130516489177787401,50,male
main-6100199603525448364,55,male
main-5991375010669641366,52,female
pretrain-6102020240162219860,53,male
main-5936179956452020142,47,female
pretrain-5985422185997376899,45,male
pretrain-6072731569680671732,47,male
pretrain-6056392225596436427,48,male
pretrain-6236411055344229545,49,male
pretrain-5575724826135218308,36,female
main-6236016777346522321,33,female
main-5923910952874190600,43,female
pretrain-5940188449429381298,57,female
pretrain-6085363927491651922,37,female
pretrain-6264501429950344525,40,male
pretrain-6169430181369718653,52,male
pretrain-6118730669420824795,35,male
main-6098013035675050600,47,male
main-5854842724793826670,34,male
pretrain-6152236568291041216,52,male
main-6236039970169919751,43,female
main-6130918498116695542,40,female
main-6214478375350548417,41,male
main-5995139979001253305,51,male
pretrain-6082016429981085043,55,male
main-6364798794736712994,48,female
main-6239735360031335520,57,male
pretrain-5936782969860318155,38,male
pretrain-5867091112528507756,64,male
main-6226627549340754213,53,male
main-5967699003450380185,52,male
pretrain-6091946823866234970,45,male
pretrain-6213032689489126420,51,female
main-6158065697904459333,40,male
main-5993311611423343767,43,female
main-6236024508287676819,35,female
pretrain-5856721343489099215,59,male
main-5968843182868512408,55,male
pretrain-6091181460694087712,58,male
pretrain-6113508418685544552,55,male
pretrain-6083759757206593320,63,male
main-6263121456958139059,46,female
main-5544538209605506454,45,male
main-6347271462698456331,39,male
pretrain-5859690024884097102,46,male
pretrain-5661513791395696218,54,female
pretrain-5677085195327362770,48,male
pretrain-6194002977760340900,48,male
pretrain-5546420693771341678,44,male
main-6210694079666040510,42,female
pretrain-5854588892226633054,43,male
main-6230709486258876435,54,male
main-6329893595522122781,47,male
pretrain-5857080832251776605,43,female
pretrain-5975399020818655185,42,male
pretrain-6017424416816605260,51,male
pretrain-5942820834885039755,45,male
pretrain-6125344489559935430,48,male
pretrain-6172027777590340984,44,male
main-6117227001370422679,46,male
main-5547224711649158254,32,male
